filename,depth_cm
10.00cm.jpg,10.0
10.0cm.jpg,10.0
10.0cm_1.jpg,10.0
100.00cm.jpg,100.0
100.0cm.png,100.0
100cm.png,100.0
102.5cm.png,102.5
105cm.png,105.0
107cm.png,107.0
10cm.jpg,10.0
10cm_1.jpg,10.0
115.5cm.png,115.5
115cm.jpg,115.0
115cm.png,115.0
120.0cm.jpg,120.0
120.0cm.png,120.0
120cm.jpg,120.0
120cm.png,120.0
125cm.png,125.0
130cm.png,130.0
13cm.jpg,13.0
140cm.png,140.0
140cm_1.png,140.0
145cm.jpg,145.0
15.00cm.jpg,15.0
15.00cm.png,15.0
15.01cm.jpg,15.01
15.01cm.png,15.01
15.01cm_1.jpg,15.01
15.02cm.jpg,15.02
15.02cm_1.jpg,15.02
15.03cm.jpg,15.03
15.03cm_1.jpg,15.03
15.04cm.jpg,15.04
15.04cm.png,15.04
15.05cm.jpg,15.05
15.05cm.png,15.05
15.06cm.jpg,15.06
15.06cm.png,15.06
15.07cm.jpg,15.07
15.07cm_1.jpg,15.07
15.08cm.jpg,15.08
15.08cm_1.jpg,15.08
15.09cm.jpg,15.09
15.09cm_1.jpg,15.09
15.0cm.jpg,15.0
15.0cm.png,15.0
15.0cm_1.jpg,15.0
15.10cm.jpg,15.1
15.10cm.png,15.1
15.11cm.jpg,15.11
15.11cm.png,15.11
15.12cm.jpg,15.12
15.12cm_1.jpg,15.12
15.13cm.jpg,15.13
15.13cm.png,15.13
15.14cm.jpg,15.14
15.14cm_1.jpg,15.14
15.15cm.jpg,15.15
15.15cm.png,15.15
15.16cm.jpg,15.16
15.17cm.jpg,15.17
15.18cm.jpg,15.18
15.19cm.jpg,15.19
15.1cm.png,15.1
15.1cm_1.png,15.1
15.20cm.jpg,15.2
15.21cm.jpg,15.21
15.22cm.jpg,15.22
15.23cm.jpg,15.23
15.2cm.jpg,15.2
150cm.png,150.0
15cm.jpg,15.0
15cm_1.jpg,15.0
15cm_2.jpg,15.0
160.0cm.jpg,160.0
160cm.jpg,160.0
17.5cm.png,17.5
17cm.png,17.0
18cm.png,18.0
20.00cm.jpg,20.0
20.00cm.png,20.0
20.00cm_1.jpg,20.0
20.01cm.jpg,20.01
20.01cm.png,20.01
20.01cm_1.jpg,20.01
20.02cm.jpg,20.02
20.02cm_1.jpg,20.02
20.02cm_2.jpg,20.02
20.03cm.jpg,20.03
20.03cm.png,20.03
20.03cm_1.jpg,20.03
20.04cm.jpg,20.04
20.04cm_1.jpg,20.04
20.04cm_2.jpg,20.04
20.05cm.jpg,20.05
20.05cm_1.jpg,20.05
20.05cm_2.jpg,20.05
20.06cm.jpg,20.06
20.06cm_1.jpg,20.06
20.06cm_2.jpg,20.06
20.07cm.jpg,20.07
20.07cm_1.jpg,20.07
20.08cm.jpg,20.08
20.08cm.png,20.08
20.09cm.jpg,20.09
20.09cm_1.jpg,20.09
20.0cm.jpg,20.0
20.0cm_1.jpg,20.0
20.0cm_2.jpg,20.0
20.10cm.jpg,20.1
20.10cm_1.jpg,20.1
20.11cm.jpg,20.11
20.11cm_1.jpg,20.11
20.12cm.jpg,20.12
20.12cm.png,20.12
20.13cm.jpg,20.13
20.13cm_1.jpg,20.13
20.14cm.jpg,20.14
20.14cm_1.jpg,20.14
20.15cm.jpg,20.15
20.15cm_1.jpg,20.15
20.16cm.jpg,20.16
20.16cm.png,20.16
